symbol,shares,pricePosition,priceTrading,totalBasis,sharesBought,priceBought,sharesSold,priceSold,dividends,sharesDividend
F,0.0,$0.00,$0.00,$620.53,1500.0,$-13.25,-1500.0,$-13.43,$330.00,0.0
FANG,0.0,$0.00,$0.00,$1192.06,152.0,$-133.52,-152.0,$-140.81,$83.00,0.0
FDUS,0.0,$0.00,$0.00,$1253.15,813.0,$-19.90,-813.0,$-19.44,$912.00,0.0
FR,0.0,$0.00,$0.00,$-0.42,2.0,$-52.01,-2.0,$-51.80,$0.00,0.0
FRBK,0.0,$0.00,$0.00,$1798.31,230.0,$-1.66,-1730.0,$-1.26,$0.00,1500.0
FRO,0.0,$0.00,$0.00,$4237.58,3075.0,$-16.41,-3075.0,$-17.74,$175.00,0.0
FRT,0.0,$0.00,$0.00,$1391.98,350.0,$-96.64,-350.0,$-100.08,$189.00,0.0
FSK,0.0,$0.00,$0.00,$982.20,540.0,$-19.00,-540.0,$-20.11,$380.00,0.0
FTAI,0.0,$0.00,$0.00,$148.56,200.0,$-56.49,-200.0,$-55.00,$0.00,0.0
GBDC,0.0,$0.00,$0.00,$897.67,500.0,$-14.77,-500.0,$-16.00,$285.00,0.0
GBX,0.0,$0.00,$0.00,$377.07,125.0,$-27.48,-125.0,$-30.50,$0.00,0.0
GDV,0.0,$0.00,$0.00,$199.46,500.0,$-21.27,-500.0,$-21.50,$82.50,0.0
GE,0.0,$0.00,$0.00,$-6015.25,215.0,$-169.90,-215.0,$-137.95,$1.20,0.0
GEV,0.0,$0.00,$0.00,$7524.88,50.0,$-129.50,-100.0,$-140.00,$0.00,50.0
GFS,0.0,$0.00,$0.00,$46.18,102.0,$-67.55,-102.0,$-68.00,$0.00,0.0
GLD,0.0,$0.00,$0.00,$387.20,275.0,$-182.95,-275.0,$-184.32,$0.00,0.0
GLNG,0.0,$0.00,$0.00,$-29.44,100.0,$-22.00,-100.0,$-21.71,$0.00,0.0
GLP,0.0,$0.00,$0.00,$401.35,295.0,$-30.92,-295.0,$-31.50,$229.88,0.0
GLPI,0.0,$0.00,$0.00,$255.73,268.0,$-48.98,-268.0,$-49.67,$72.00,0.0
GM,0.0,$0.00,$0.00,$257.43,600.0,$-39.21,-600.0,$-38.96,$0.00,0.0
GMRE,0.0,$0.00,$0.00,$1024.91,1000.0,$-9.10,-1000.0,$-10.12,$0.00,0.0
GNRC,0.0,$0.00,$0.00,$199.20,100.0,$-131.10,-100.0,$-128.00,$0.00,0.0
GOOD,0.0,$0.00,$0.00,$378.00,400.0,$-13.35,-400.0,$-12.69,$210.00,0.0
GOOG,0.0,$0.00,$0.00,$283.45,205.0,$-106.18,-205.0,$-107.57,$0.00,0.0
GOOGL,0.0,$0.00,$0.00,$55.97,20.0,$-132.70,-20.0,$-135.50,$0.00,0.0
GPMT,0.0,$0.00,$0.00,$339.70,666.0,$-4.74,-666.0,$-5.25,$0.00,0.0
GPOR,0.0,$0.00,$0.00,$11.45,2.4,$-123.79,-2.4,$-128.58,$0.00,0.0
GSL,0.0,$0.00,$0.00,$998.70,750.0,$-20.07,-750.0,$-21.20,$150.00,0.0
HDSN,0.0,$0.00,$0.00,$21.99,100.0,$-8.00,-100.0,$-8.22,$0.00,0.0
HDV,0.0,$0.00,$0.00,$5.45,50.0,$-103.66,-50.0,$-103.77,$0.00,0.0
HESM,0.0,$0.00,$0.00,$1246.19,350.0,$-28.46,-350.0,$-31.60,$146.28,0.0
HGBL,0.0,$0.00,$0.00,$-1603.98,2157.0,$-3.67,-2157.0,$-2.93,$0.00,0.0
HII,0.0,$0.00,$0.00,$11772.48,0.0,$0.00,-41.0,$-283.35,$154.98,41.0
HQH,0.0,$0.00,$0.00,$673.28,710.0,$-17.25,-710.0,$-17.35,$601.70,0.0
HR,0.0,$0.00,$0.00,$-251.30,213.0,$-17.09,-213.0,$-15.44,$62.00,0.0
HRZN,0.0,$0.00,$0.00,$455.47,2450.0,$-12.38,-2450.0,$-12.50,$165.00,0.0
HTD,0.0,$0.00,$0.00,$-210.12,750.0,$-20.05,-750.0,$-18.90,$658.26,0.0
HTGC,0.0,$0.00,$0.00,$4034.86,1000.0,$-12.50,-1000.0,$-16.11,$423.00,0.0
HZO,0.0,$0.00,$0.00,$48.97,100.0,$-27.42,-100.0,$-27.91,$0.00,0.0
ICHR,0.0,$0.00,$0.00,$-877.23,200.0,$-39.42,-200.0,$-31.72,$0.00,0.0
IGR,0.0,$0.00,$0.00,$150.14,2500.0,$-5.24,-2500.0,$-5.30,$0.00,0.0
IH,0.0,$0.00,$0.00,$4.45,222.0,$-3.17,-222.0,$-3.19,$0.00,0.0
IIPR,0.0,$0.00,$0.00,$84.92,120.0,$-74.29,-120.0,$-75.00,$0.00,0.0
IMVT,0.0,$0.00,$0.00,$496.49,500.0,$-30.23,-500.0,$-30.00,$0.00,0.0
INSW,0.0,$0.00,$0.00,$20.58,6.5,$-46.05,-6.5,$-49.20,$0.00,0.0
INVH,0.0,$0.00,$0.00,$1.26,3.0,$-30.96,-3.0,$-31.38,$0.00,0.0
IONQ,0.0,$0.00,$0.00,$3.74,15.0,$-7.00,-15.0,$-7.25,$0.00,0.0
IRT,0.0,$0.00,$0.00,$1.04,5.0,$-16.02,-5.0,$-16.23,$0.00,0.0
ITA,0.0,$0.00,$0.00,$218.57,100.0,$-110.00,-100.0,$-111.00,$0.00,0.0
IVE,0.0,$0.00,$0.00,$98.42,26.0,$-150.01,-26.0,$-153.80,$0.00,0.0
IVZ,0.0,$0.00,$0.00,$149.96,250.0,$-15.75,-250.0,$-16.35,$0.00,0.0
IWF,0.0,$0.00,$0.00,$88.87,10.0,$-274.25,-10.0,$-283.14,$0.00,0.0
IWM,0.0,$0.00,$0.00,$558.41,100.0,$-199.39,-100.0,$-201.00,$0.00,0.0
JAAA,0.0,$0.00,$0.00,$9.96,20.0,$-50.08,-20.0,$-50.31,$5.27,0.0
JBBB,0.0,$0.00,$0.00,$73.69,50.0,$-47.34,-50.0,$-48.00,$40.61,0.0
JEPI,0.0,$0.00,$0.00,$4004.71,2670.0,$-54.77,-2670.0,$-55.00,$2395.35,0.0
JNJ,0.0,$0.00,$0.00,$209.41,30.0,$-155.81,-30.0,$-161.60,$35.70,0.0
JNK,0.0,$0.00,$0.00,$5.79,122.0,$-95.00,-122.0,$-94.10,$11.71,0.0
JPC,0.0,$0.00,$0.00,$59.33,400.0,$-6.24,-400.0,$-6.30,$34.36,0.0
JPIE,0.0,$0.00,$0.00,$-13.27,20.0,$-46.25,-20.0,$-45.35,$4.74,0.0
JPM,0.0,$0.00,$0.00,$409.06,30.0,$-128.13,-30.0,$-141.10,$20.00,0.0
JPMPRM,0.0,$0.00,$0.00,$60.48,100.0,$-18.92,-100.0,$-19.00,$52.50,0.0
JXN,0.0,$0.00,$0.00,$75.60,50.0,$-36.21,-50.0,$-37.72,$0.00,0.0
